,uid,method,c,epsilon,meanql
441,84,OPT-SEM-IND,2,0.2,0.18792838218268312
442,84,USS,2,0.2,1.2357511623518758
443,84,ESSA,2,0.2,0.5185710672837537
444,85,OPT-SEM-IND,2,0.2,0.16910933694031566
445,85,USS,2,0.2,1.2658782355335179
446,85,ESSA,2,0.2,0.5290757577114704
447,128,OPT-SEM-IND,2,0.2,0.2247091071184142
448,128,USS,2,0.2,1.2121556648633387
449,128,ESSA,2,0.2,0.46574788478239154
450,4,OPT-SEM-IND,2,0.6000000000000001,0.24734373513889704
451,4,ESSA,2,0.6000000000000001,0.5651063607171103
452,7,OPT-SEM-IND,2,0.6000000000000001,0.20660817345462115
453,7,ESSA,2,0.6000000000000001,0.5286578230090531
454,14,OPT-SEM-IND,2,0.6000000000000001,0.2895892784864215
455,14,ESSA,2,0.6000000000000001,0.5841389609988442
456,22,OPT-SEM-IND,2,0.6000000000000001,0.23473032502214447
457,22,ESSA,2,0.6000000000000001,0.4827268659088877
458,25,OPT-SEM-IND,2,0.6000000000000001,0.27269228128779915
459,25,ESSA,2,0.6000000000000001,0.6478475335173199
460,35,OPT-SEM-IND,2,0.6000000000000001,0.3359172740044443
461,35,ESSA,2,0.6000000000000001,0.5498916270215563
462,36,OPT-SEM-IND,2,0.6000000000000001,0.20730818193490627
463,36,ESSA,2,0.6000000000000001,0.5045644492204929
464,38,OPT-SEM-IND,2,0.6000000000000001,0.2390255140208759
465,38,ESSA,2,0.6000000000000001,0.5219981925660699
466,43,OPT-SEM-IND,2,0.6000000000000001,0.24208094256458088
467,43,ESSA,2,0.6000000000000001,0.5197414001717684
